Text,language
برقی بار electric charge تمام زیرجوہری ذرات کی ا یک بنیادی محفوظہ conserved خصوصیت ہے جو انکے برقناطیسی تفاعلات کا تعین کرتی ہے۔ اس بات یوں بھی کہ سکتے ہیں کہ برقی بار کا حامل ذرہ یا مادہ  ایک برقناطیسی میدان کی وجہ سے متاثر ہوتا ہے یا اسکے زیر اثر ہوتا ہے جبکہ خود اسی کی وجہ سے برقناطیسی میدان پیدا بھی ہوتا ہے۔ برقناطیسی میدان اور اس میں حرکت کرتے ہوئے ایک بار دار ذرے کے آپس میں تفاعل interaction سے ایک قسم کی قوت یا توانائی نمودار ہوتی ہے جس کو برقناطیسی قوت کہا جاتا ہے۔ اور یہ برقناطیسی قوت  دراصل اس کائنات میں پائی جانے والی چار بنیادی قوتوں میں سے ایک ہے۔,Urdu
महाराष्ट्र  मई  को भारत का राज्य बनाया गया था। इस दिन को हम महाराष्ट्र दिन के भी नाम से जानते है। शुरू में महाराष्ट्र में  जिले थे। उसके बाद  नये जिले बनाएँ गये है। वर्तमान के महाराष्ट्र में  जिले है। इन जिलों को छह प्रशासनिक विभागों में विभाजित किया गया है।,Hindi
آهن ترکیباتی را ایجاد می‌کند که عمدتاً در حالت‌های اکسیداسیون  و  هستند به‌طور سنتی ترکیبات آهن ii فروس نامیده می‌شوند و ترکیبات آهن iii فریک نامیده می‌شود ترکیبات زیادی در هر یک از حالات اکسیداسیون وجود دارد که مثال‌هایی از آن شامل سولفات آهن ii feso و کلرید آهن iii fecl می‌باشد,Persian
in  johnson was awarded an american institute of architects gold medal in  he became the first recipient of the pritzker architecture prize the most prestigious international architectural award,English
bussy-saint-georges has built its identity on a green model environment with parks and gardens they represent  hectares of integrated green spaces  kilometres  miles of soft connecting links  squares and parks in the city centre  pools and more than  trees today,English
زلاتان ابراھیموویچ zlatan ibrahimović سویڈش تلفظ [ˈslaːtan ɪbraˈhiːmovɪtʂ] بوسنیائی تلفظ [ˈzlatan ibraˈxiːmɔʋitɕ] ایک سویڈش پیشہ ورانہ فوٹبالر ہے جو بطور اسٹرائیکر لیگ  کلب پیرس سینٹ جرمین ligue  club paris saint-germain اور سویڈش قومی ٹیم میں بھی بطور کپتان کھیلتا ہے۔,Urdu
قبل عام بالضبط وبتاريخ  أعلن البغدادي خطة هدم الأسوار وبتاريخ  هاجمت داعش سجنين في بغداد هما سجن التاجي وسجن بغداد المركزي ونجحت في تهريب أكثر من  معتقل ,Arabic
وعندما وصل جنود الحملة الفرنسية غرب مدينة الإسكندرية في  يوليو عام  زحفوا على المدينة واحتلوها بعد مقاومة من جانب أهلها وحاكمها محمد كريم دامت ساعات وبعد ذلك أخذ نابليون يزحف على القاهرة بطريق دمنهور حيث استطاع الفرنسيون احتلال مدينة رشيد في  يوليو ووصلوا إلى الرحمانية وهي قرية على النيل وفي تلك الأثناء كان المماليك يعدون جيشاً لمقاومة الجيوش الفرنسية بقيادة مراد بك حيث التقى الجيشان بالقرب من شبراخيت في  يوليو إلا أن الجيوش المملوكية هُزِمَت واضطرت إلى التقهقر فرجع مراد بك إلى القاهرة,Arabic
كان بصوته الشجي المميز خطيباً مميزاً وصاحب مدرسة وطور قلّ أن تجد له مثيلا وقد عرف الشيخ حسن زين الدين في خطابته بالإخلاص في القراءة والالتزام في الطرح الخاص في فن الخطابة الحسينية حيث إلهاب العواطف ومخاطبة العقل في نفس الوقت فكان يعطي مصائب أهل البيت من وقت القراءة الكثير وكذلك الالتزام بالسيرة العامة لأهل البيت والاهتمام بالجانب العقائدي والفقهي العام ومن مميزات خطابته التحقيق التاريخي والإلمام بسير أهل البيت وتفاصيل الأحداث التي رافقت حياتهم المقدسة وكان بحراً زاخراً من المعرفة بالتاريخ الإسلامي وأحوال العرب قبل الإسلام من هنا فإن الشيخ حسن قد حاز على الشهرة في هذا المجال لأنه استطاع أن يستخدم المنبر الحسيني في الإرشاد والتوعية الإسلامية وربط المجتمع بفكر أهل البيت عليهم السلام ولذلك كله فإنه قلّ أن تجد قرية من قرى البحرين لم يعتل منابرها فعلى سبيل المثال لا الحصر فقد اعتلى منابر دار كليب لما يقرب من أربعة عقود متصلة ومنابر جدحفص لخمسة ومنابر سترة لثلاثة متصلة أو تزيد,Arabic
تدبیر فلاح و نجات و اصلاح چند سوالات کا جواب ہے جو ھ میں حاجی منشی لعل خان نے امام احمد رضا خان سے پوچھے تھے۔ یہ فتاویٰ رضویہ کی بارہویں جلد میں بھی شامل ہے اور الگ سے بھی شائع ہوا ہے۔,Urdu
